edition,type,subtype,winner,title,director,year,country,premiere,competition,casting,distributor,producer,screenplay,soundtrack,subtitles,audio,length,genre,Fonction Guest,IMDB,Lien IMDB,original_title,URL Poster,text_fr,text_nl,text_en
1997,short,European short film competition,,ALICE UND DER AURIFACTOR,Jorg Fockele,1995,Germany,,European short film competition,,,,,,,,15',,,,"https:,,www.imdb.com,title,tt0121064,?ref_=fn_al_tt_1",,,,,
1997,short,European short film competition,,BIEDESMEIER,Peder Norlund,1996,Norway,,European short film competition,"Åsne Arvesen, Harald Dahl, Gard B. Eidsvold",,,,,,,,Drama,,,"https:,,www.imdb.com,title,tt0850653,?ref_=fn_al_tt_2",,,,,
1997,short,European short film competition,,CHARNEL DESPERADO BLUES,Neville Marchinkowski,1996,Belgium,,European short film competition,,,,,,,,4',Animation,,,"https:,,www.imdb.com,title,tt0280533,?ref_=fn_al_tt_1",,,,,
1997,short,European short film competition,,CORUÑA IMPOSIBLE,Francisco Rañal,1995,Spain,,European short film competition,"Roberto Sánchez 'Luna', Manuel Ramallal, Vicente Montoto",,,,,,,,,,,"https:,,www.imdb.com,title,tt0261624,?ref_=nm_knf_t2",,,,,
1997,short,European short film competition,,DE LA CAVE AU GRENIER,Martial Wannaz,1995,Switzerland,,European short film competition,,,,,,,,,,,,,,,,,
1997,short,European short film competition,,DESTIN ANIME,Vincent Brigode,1996,Belgium,,European short film competition,,,,,,,,,,,,,,,,,
1997,short,European short film competition,,DITES-LE AVEC LES MAINS,Daniel Hicquet,1997,Belgium,,European short film competition,"
Régis Ivanov, Maurice Lamy",,,,,,,15',Comedy,,,"https:,,www.imdb.com,title,tt0210005,?ref_=fn_al_tt_1",,,,,
1997,short,European short film competition,,DNA,Giorgio Valentini,1996,Italy,,European short film competition,,,,,,,,,,,,,,,,,
1997,short,European short film competition,,DOUBLE JEU,Emmanuel Oberg,1996,France,,European short film competition,"Pascale Arbillot, Michaël Cohen, Frédéric Michelot",,,,,,,8',,,,"https:,,www.imdb.com,title,tt0121217,?ref_=nm_knf_t1",,,,,
1997,short,European short film competition,,ENCUENTRO INESPERADO,Juan Carlos Olaria,1995,Spain,,European short film competition,Ángela Ulloa,,,,,,,13',Science-Fiction,,,"https:,,www.imdb.com,title,tt5591324,?ref_=fn_al_tt_4",,,,,
1997,short,European short film competition,,FLEUR,"Fabrice Lesueur, Jean-Christophe Saurel",1996,France,,European short film competition,,,,,,,,,,,,,,,,,
1997,short,European short film competition,,LA GOTERA,"Grojo Sanchez Cabezudo, Jorge Sanchez Cabezudo",1997,Spain,,European short film competition,"David Abajo, Mariano Alameda, José Manuel Arranz",,,,,,,,,,,"https:,,www.imdb.com,title,tt0116440,?ref_=nm_knf_t3",,,,,
1997,short,European short film competition,,GROOVEMASTERS,Brian Meijers,1996,Netherlands,,European short film competition,"Daan Hugaert, Bruun Kuyt, Wil van der Meer",,,,,,,,Drama,,,"https:,,www.imdb.com,title,tt0279850,?ref_=fn_al_tt_1","HANK , HENK",,,,
1997,short,European short film competition,,DIE GROßE LIEBE DES DR. ISIDOR SCHEMINSKY,Franz Moritz,1995,Austria,,European short film competition,"Maximilian Kutzer, Daniela Gäts, Alexander Ebeert",,,,,,,9',,,,"https:,,www.imdb.com,title,tt0113226,?ref_=fn_al_tt_1",,,,,
1997,short,European short film competition,,HOME COOKING,Anna Minkkinen,1995,Finland,,European short film competition,,,,,,,,,,,,,,,,,
1997,short,European short film competition,,IRA-DIATION,Manuel Gomez,1997,Belgium,,European short film competition,"Alexandre Bancel, Hanna Bardos, Serge Collard",,,,,,,9',,,,"https:,,www.imdb.com,title,tt0821465,?ref_=nm_knf_t3",,,,,
1997,short,European short film competition,,JOJO LA FRITE,Nicolas Cuche,1996,France,,European short film competition,"Didier Becchetti, Sylvie Benoît, Nicolas Bordas",,,,,,,15',Comedy,,,"https:,,www.imdb.com,title,tt0357813,?ref_=fn_al_tt_2",,,,,
1997,short,European short film competition,,LORENZO,Morten Tyldum,1996,Norway,,European short film competition,,,,,,,,5',,,,"https:,,www.imdb.com,title,tt0417912,?ref_=nm_flmg_dr_13",,,,,
1997,short,European short film competition,,THE MAGIC BRUSH,Martin Guggisberg,1995,UK,,European short film competition,,,,,,,,,,,,,,,,,
1997,short,European short film competition,,LA MALÉDICTION DE DOKTOR SCHNITZEL,Eric Figon,1997,Belgium,,European short film competition,"Daniel Cap, Dounia Depoorter, Philippe Drecq",,,,,,,10',,,,"https:,,www.imdb.com,title,tt0178734,?ref_=nm_flmg_wr_1",,,,,
1997,short,European short film competition,,OKTOBERNACHT,"Dany Deprez, Jean-Claude Van Rijckeghem",1997,Belgium,,European short film competition,"Kim Jordås, Frank Krog, Kim Kaldeng",,,,,,,22',Fantasy,,,"https:,,www.imdb.com,title,tt0272756,?ref_=fn_al_tt_1",,,,,
1997,short,European short film competition,,THE PASSENGER,Matthias Lehmann,1995,Germany,,European short film competition,"Eric P. Caspar, Johann Salzberger, Daniel Sponsel",,,,,,,10',Horror,,,"https:,,www.imdb.com,title,tt0178820,?ref_=nm_knf_t2",,,,,
1997,short,European short film competition,,THE QUEST,"Tyron Montgomery, Thomas Stellmach",1996,Germany,,European short film competition,,,,,,,,12',"Animation,  Comedy",,,"https:,,www.imdb.com,title,tt0117419,?ref_=nm_knf_t1",,,,,
1997,short,European short film competition,,RED RAIN,Matthijs Van Heijningen Jr.,1996,Netherlands,,European short film competition,"
Roef RagasKim van Kooten",,,,,,,13',Thriller,,,"https:,,www.imdb.com,title,tt0117453,?ref_=nm_knf_t2",,,,,
1997,short,European short film competition,,THE SAINT INSPECTOR,Mike Booth,1996,UK,,European short film competition,,,,,,,,5',Animation,,,"https:,,www.imdb.com,title,tt0117538,?ref_=fn_al_tt_1",,,,,
1997,short,European short film competition,,SHIT!,Davide Marengo,1996,Italy,,European short film competition,"
Isa Gallinelli",,,,,,,,,,,"https:,,www.imdb.com,title,tt12072088,?ref_=nm_flmg_dr_16",,,,,
1997,short,European short film competition,,SKINDEEP,Lorenzo Gabriele,1995,Switzerland,,European short film competition,,,,,,,,,,,,,,,,,
1997,short,European short film competition,,SOMNIA OU LE VOYAGE EN HYPNOPOMPIA,Hélène Guetary,1997,France,,European short film competition,"Emilie Woitchik, Georges Guétary, Andréa Ferréol
",,,,,,,,,,,"https:,,www.imdb.com,title,tt0259588,?ref_=nm_knf_t4",,,,,
1997,short,European short film competition,,THE STAR,David Moore,1996,UK,,European short film competition,Phil McKee,,,,,,,,,,,"https:,,www.imdb.com,title,tt0259596,?ref_=nm_flmg_dr_25",,,,,
1997,short,European short film competition,,DER STEUERMANN,Stefan Schneider,1997,Germany,,European short film competition,"Dietmar Mössmer, Katja Weitzenböck",,,,,,,12',,,,"https:,,www.imdb.com,title,tt0157066,?ref_=fn_al_tt_1",,,,,
1997,short,European short film competition,,VALSE NOCTURNE,Christopher Barry,1995,France,,European short film competition,"Jean-Pierre Cassel, Vincent Cassel, Axelle Cummings",,,,,,,15',Fantasy,,,"https:,,www.imdb.com,title,tt0461056,?ref_=fn_al_tt_1",,,,,
1997,short,European short film competition,,LA VIE INTERIEURE,Eddy Geradon-Luyckx,1996,Luxembourg,,European short film competition,,,,,,,,,,,,,,,,,
1997,short,European short film competition,,WATERWEED,Aidan McKeown,1994,Ireland,,European short film competition,"Conor Campbell, Alan Devine, Dominic Lambe",,,,,,,10',,,,"https:,,www.imdb.com,title,tt0195404,?ref_=fn_al_tt_1",,,,,
1997,short,,,THE CHICKEN FROM OUTER SPACE,John R. Dilworth,1995,USA,,,Howard Hoffman,,,,,,,8',"Animation, Comedy",,,"https:,,www.imdb.com,title,tt0112661,?ref_=fn_al_tt_1",,,,,
1997,short,,,THE CUCKOO,Gerald Thompson,1996,Australia,,,,,,,,,,,,,,,,,,,
1997,short,,,CUTTING MOMENTS,Douglas Buck,1997,USA,,,"Nica Ray, Gary Betsworth, Jared Barsky",,,,,,,29',"Drama, Horror ",,,"https:,,www.imdb.com,title,tt0159391,?ref_=fn_al_tt_1",,,,,
1997,short,,,DEAD END,Michael Liu,1995,Australia,,,,,,,,,,,,,,,,,,,
1997,short,,,DEMETROUS THE WERECLOWN,William Michael Redman,1996,USA,,,,,,,,,,,,,,,,,,,
1997,short,,,LE DERNIER CHAPERON ROUGE,Jan Kounen,1996,France,,,"Emmanuelle Béart, Gérald Weingand, Diana Payne-Myers
",,,,,,,26',"Fantasy, Musical ",,,"https:,,www.imdb.com,title,tt0116079,?ref_=fn_al_tt_1",,,,,
1997,short,,,DONDE Y COMO OLIVEIRA PERDIO A ACHALA,"Andres Tambornino, Ulises Rosell",1995,Argentina,,,"Martín Adjemián, Oscar Alegre, Carlos Moreno",,,,,,,11',,,,"https:,,www.imdb.com,title,tt0346919,?ref_=fn_al_tt_1",,,,,
1997,short,,,FILM NOIR,Michael Liu,1996,Australia,,,,,,,,,,,,,,,,,,,
1997,short,,,FREESTYLE,David Lowe,1996,Australia,,,,,,,,,,,,,,,,,,,
1997,short,,,HAMBRE MORTAL,Toni Escalonilla,1996,Spain,,,"Paul Naschy, Luis Alberto Rodrigo, Sandra Toral",,,,,,,23',Crime ,,,"https:,,www.imdb.com,title,tt5959458,?ref_=fn_al_tt_1",,,,,
1997,short,,,L'HOMME VRAI,Sylvain Ruest,1996,Canada,,,,,,,,,,,,,,,,,,,
1997,short,,,OVER IN AMERICA,Martin Murphy,1996,Australia,,,,,,,,,,,,,,,,,,,
