edition,type,subtype,winner,title,director,year,country,premiere,competition,casting,distributor,producer,screenplay,soundtrack,subtitles,audio,length,genre,Fonction Guest,IMDB,Lien IMDB,original_title,URL Poster,text_fr,text_nl,text_en
1989,short,European short film competition,,SCULPTURE PHYSIQUE,"Jean-Marie Maddeddu, Yann Piquer",1989,France,,European short film competition,Jean-Marie Maddeddu,,,,,,,,,,,"https:,,www.imdb.com,title,tt0242863,?ref_=fn_al_tt_1",,,,,
1989,short,European short film competition,,BAEUS,Bruno Bozzetto,1987,Italy,,European short film competition,,,,,,,,7',"Animation, Comedy",,,"https:,,www.imdb.com,title,tt0298749,?ref_=fn_al_tt_1",,,,,
1989,short,European short film competition,,ASFAEL,Petros Sevastikoglou,1987,Greece,,European short film competition,"Tonia Nikolinakou, Kostas Pagonis, Vasos Andronidis",,,,,,,15',,,,"https:,,www.imdb.com,title,tt1376395,?ref_=fn_al_tt_1",,,,,
1989,short,European short film competition,,LE SECOND SILENCE,Willy Kempeneers,1988,Belgium,,European short film competition,,,,,,,,,,,,,,,,,
1989,short,European short film competition,,THE INCIDENT,Hieronim Neumann,1987,Poland,,European short film competition,,,,,,,,,,,,,,,,,
1989,short,European short film competition,,BERENICE by Georges Mourier,Georges Mourier,1988,France,,European short film competition,"Vicki Messica, Florence Vignon",,,,,,,12',Action ,,,"https:,,www.imdb.com,title,tt10957700,?ref_=nm_flmg_dr_12",,,,,
1989,short,European short film competition,,JULIA,Suzanne Aernecke,1987,RFA,,European short film competition,,,,,,,,,,,,,,,,,
1989,short,European short film competition,,CESAR,Hans Walther,1988,Netherlands,,European short film competition,,,,,,,,,,,,,,,,,
1989,short,European short film competition,,LE DINER DES BUSTES,Moïse Maatouk,1988,France,,European short film competition,"Alexandra Lorska, Pierre Mirat, Georges Morin",,,,,,,21',,,,"https:,,www.imdb.com,title,tt0095075,?ref_=fn_al_tt_1",,,,,
1989,short,European short film competition,,THE SWIMMING POOL,Mike Barber,1987,UK,,European short film competition,,,,,,,,,,,,,,,,,
1989,short,European short film competition,,UNIVERSE OF DERMOT FINN,Philip Ridley,1988,UK,,European short film competition,"Heather Canning, John Gabriel, Sheila Hancock",,,,,,,11',,,,"https:,,www.imdb.com,title,tt0207812,?ref_=fn_al_tt_1",,,,,
1989,short,European short film competition,,AB OVO,Ferenc Cako,1989,Hungary,,European short film competition,,,,,,,,7',Animation,,,"https:,,www.imdb.com,title,tt0147813,?ref_=fn_al_tt_2",,,,,
