edition,type,subtype,winner,title,director,year,country,premiere,competition,casting,distributor,producer,screenplay,soundtrack,subtitles,audio,length,genre,Fonction Guest,IMDB,Lien IMDB,original_title,URL Poster,text_fr,text_nl,text_en
1992,short,European short film competition,,ONCE UPON A TIME,Kristian Petri,1991,Sweden,,European short film competition,,,,,,,,,,,,,,,,,
1992,short,European short film competition,,SHE'S NOT CRYING,Neil Bastian,1990,UK,,European short film competition,,,,,,,,,,,,,,,,,
1992,short,European short film competition,,CHASSE GARDEE,Marie-Christine Perrodin,1991,France,,European short film competition,,,,,,,,,,,,,,,,,
1992,short,European short film competition,,DIE MYSTERIOSEN LEBENSLINIEN,David Ruhm,1991,Austria,,European short film competition,,,,,,,,,,,,,,,,,
1992,short,European short film competition,,L'ENCADRE,Manuel Gomez,1991,Belgium,,European short film competition,,,,,,,,,,,,https://www.imdb.com/title/tt0295945/?ref_=fn_al_tt_1,,,,,
1992,short,European short film competition,,DOWN IN LIMBO,Martin Kowalczyk,1991,Germany,,European short film competition,,,,,,,,,,,,,,,,,
1992,short,European short film competition,,LE DIABLE EN HIVER,Hervé Lievre,1990,France,,European short film competition,"Michaël Vander-Meiren, Jocelyne Witek",,,,,,,18',Comedy,,,https://www.imdb.com/title/tt5957082/?ref_=nm_knf_t4,,,,,
1992,short,European short film competition,,"HALO, ALBERTE",Vaclav Mergl,1990,Czechoslovakia,,European short film competition,,,,,,,,8',Animation,,,https://www.imdb.com/title/tt11071456/?ref_=nm_flmg_dr_4,,,,,
1992,short,European short film competition,,LES EFFACEURS,Gerald Frydman,1991,Belgium,,European short film competition,"Barney Frydman, Olivier Gérard",,,,,,,,,,,https://www.imdb.com/title/tt0242164/?ref_=nm_flmg_dr_3,,,,,
1992,short,European short film competition,,THE WEATHERHOUSE,Joanna Woodward,1991,UK,,European short film competition,Amanda Hadingue,,,,,,,10',Fantasy,,,https://www.imdb.com/title/tt0287794/?ref_=nm_flmg_dr_4,,,,,
1992,short,European short film competition,,"LA PUERTA, VAYA BROMA!","M.J. Claessens , R. Bijloo",1991,Spain,,European short film competition,Miguel Molina,,,,,,,,,,,https://www.imdb.com/title/tt0218532/?ref_=nv_sr_srsg_0,,,,,
1992,short,European short film competition,,IMPACTS,Rémy Giordano,1991,France,,European short film competition,"Pascale Barouk, Pierre Collo, Helga Dullenkopf",,,,,,,9',,,,https://www.imdb.com/title/tt0285615/?ref_=nm_ov_bio_lk1,,,,,
1992,short,European short film competition,,LA DENT,Christian Dor,1990,France,,European short film competition,,,,,,,,,,,,,,,,,
1992,short,European short film competition,,INVISIBLE CITY,Mark Jay,1991,UK,,European short film competition,,,,,,,,,,,,,,,,,
1992,short,European short film competition,,LA HIJA DE FU-MANCHU '72,Escuadilla Amalilla,1990,Spain,,European short film competition,,,,,,,,,,,,,,,,,
1992,short,European short film competition,,LES CLOUS DD ROSELIE,Willy Kempeneers,1991,Belgium,,European short film competition,,,,,,,,,,,,,,,,,
1992,short,European short film competition,,TIC ET TAC DANS TAC TAC,E. Carlier  S. Goubern,1991,France,,European short film competition,,,,,,,,,,,,,,,,,
1992,short,European short film competition,,VVVVVVV !,Alfred,1991,Belgium,,European short film competition,,,,,,,,,,,,,,,,,
