edition,type,subtype,winner,title,director,year,country,premiere,competition,casting,distributor,producer,screenplay,soundtrack,subtitles,audio,length,genre,Fonction Guest,IMDB,Lien IMDB,original_title,URL Poster,text_fr,text_nl,text_en
1991,short,European short film competition,,VALKYR,Franck Schots,1989,Netherlands,,European short film competition,,,,,,,,,,,,,,,,,
1991,short,European short film competition,,FOR GOD'S SAKE,Enrich Folch,1990,Spain,,European short film competition,,,,,,,,,,,,https://www.imdb.com/title/tt0178460/?ref_=fn_al_tt_6 ,,,,,
1991,short,European short film competition,,REVESTRICTION ,Barthelemy Bompard,1989,France,,European short film competition,Bernadette Coqueret,,,,,,,,,,,https://www.imdb.com/title/tt0241890/?ref_=fn_al_nm_1a ,,,,,
1991,short,European short film competition,,PARALYSIA,A.J. Marianos,1989,Greece,,European short film competition,"Vasilis Tsipidis, Anthi Gounari, Valeria Hristodoulidou",,,,,,,15',,,,https://www.imdb.com/title/tt1477053/?ref_=fn_al_tt_1 ,,,,,
1991,short,European short film competition,,CYCLOPE,"Anita Assal, John Hudson",1989,France,,European short film competition,,,,,,,,,,,,,,,,,
1991,short,European short film competition,,LA MORT DU ROI FOU,Guy Lejeune,1989,Belgium,,European short film competition,"Jean-Claude Derudder, Guy Pion, Wendy Sluszny",,,,,,,17',,,,https://www.imdb.com/title/tt0496545/?ref_=nm_knf_t1 ,,,,,
1991,short,European short film competition,,CIMETIERE DES ELEPHANTS,Ph. Dorison,1989,France,,European short film competition,,,,,,,,,,,,,,,,,
1991,short,European short film competition,,LA MANO SENZA VOLTO,Adriano Kestenholz,1989,Switzerland,,European short film competition,"Eleonora Cajafa, Teco Celio",,,,,,,21',Horror,,,https://www.imdb.com/title/tt1954595/?ref_=fn_al_tt_1 ,,,,,
1991,short,European short film competition,,THE HANGOVER,Giblets,1989,UK,,European short film competition,,,,,,,,,,,,,,,,,
1991,short,European short film competition,,"MON DIEU, C'EST PLEIN D'ETOILES",Ph. Boon,1990,Belgium,,European short film competition,,,,,,,,,,,,,,,,,
1991,short,European short film competition,,AN DER GRENZE,Max Linder,1990,Austria,,European short film competition,,,,,,,,,,,,,,,,,
1991,short,European short film competition,,HOOGVLIEGER,Erik De Goederen,1990,Netherlands,,European short film competition,"Simon Paterson, Edda Barends, Dokus Dagelet",,,,,,,19',,,,https://www.imdb.com/title/tt0291249/?ref_=nm_ov_bio_lk3,,,,,
1991,short,European short film competition,,LA NOUVELLE,Christophe Vassort,1990,France,,European short film competition,,,,,,,,,,,,https://www.imdb.com/title/tt0296110/?ref_=nm_ov_bio_lk3,,,,,
1991,short,European short film competition,,INVIDIA,Manuel Gomez,1990,Belgium,,European short film competition,,,,,,,,,Thriller,,,https://www.imdb.com/title/tt3221076/?ref_=nv_sr_srsg_0,,,,,
1991,short,European short film competition,,TRANS GALACTIC HOLYDAYS,Simon Fellows,1989,UK,,European short film competition,,,,,,,,,,,,,,,,,
1991,short,European short film competition,,SEPT MINUTES TRENTE-CINQ,Bernard Uzan,1990,France,,European short film competition,,,,,,,,,,,,,,,,,
1991,short,European short film competition,,VVVVVVV !,Alfred,1990,Belgium,,European short film competition,,,,,,,,,,,,,,,,,
1991,short,European short film competition,,SCORPION,Florence Strauss,1989,France,,European short film competition,,,,,,,,,,,,,,,,,
1991,short,European short film competition,,AIXO NO ES UNA PEL.LICULA,Francesc Casanova,1990,Spain,,European short film competition,"Enric Arquimbau, Domingo G. Ciscar, Robert Gobern",,,,,,,17',Comedy ,,,https://www.imdb.com/title/tt2371269/?ref_=nm_ov_bio_lk2,,,,,
1991,short,European short film competition,,LA NEF,Claude Champion,1989,Switzerland,,European short film competition,,,,,,,,,,,,,,,,,
1991,short,European short film competition,,THE RECORDIST,Neil Grant,1990,UK,,European short film competition,,,,,,,,,,,,,,,,,
1991,short,European short film competition,,CORRIDOR,Alain Robak,1989,France,,European short film competition,"Jean-François Gallotte, Marie-Thérèse Caumont, Roger Zaconni",,,,,,,7',"Horror, Adventure",,,https://www.imdb.com/title/tt0312584/?ref_=nm_knf_t4,,,,,
1991,short,European short film competition,,LES PIERRES DU MAL,Willy Kempeneers,1990,Belgium,,European short film competition,,,,,,,,,,,,,,,,,
1991,short,European short film competition,,REPRODUTA INTERDITA,Edgar Pera,1990,Portugal,,European short film competition,,,,,,,,7',Fantasy,,,https://www.imdb.com/title/tt10608538/?ref_=nm_flmg_dr_49,,,,,
1991,movie,Opening,,MISERY,Rob Reiner,1990,USA,BELGIAN,,"James Caan, Kathy Bates, Richard Farnsworth",,,,,,,107',"Drama, Thriller",,,https://www.imdb.com/title/tt0100157/?ref_=nv_sr_srsg_0,,,,,
1991,movie,Closing,,THE SILENCE OF THE LAMBS,Jonathan Demme,1990,USA,BELGIAN,,"Jodie Foster, Anthony Hopkins, Lawrence A. Bonney",,,,,,,118',"Crime, Drama, Thriller ",,,https://www.imdb.com/title/tt0102926/?ref_=nv_sr_srsg_0,,,,,
1991,movie,International Competition,,THE ARRIVAL,David Schmoeller,1990,USA,WORLD,International Competition,"John Saxon, Joseph Culp, Robin Frates",,,,,,,103',"Horror, Science-Fiction",,,https://www.imdb.com/title/tt0099059/?ref_=nv_sr_srsg_3,,,,,
1991,movie,International Competition,,A CHINESE GHOST STORRY II,Ching Siu-Tung,1990,Hong Kong,EUROPEAN,International Competition,"Leslie Cheung, Joey Wang, Michelle Reis",,,,,,,104',"Action, Comedy, Fantasy ",,,https://www.imdb.com/title/tt0100625/?ref_=nv_sr_srsg_2,,,,,
1991,movie,International Competition,,"DON JUAN, MY LOVE",Antonio Mercedo,1990,Spain,BELGIAN,International Competition,"Juan Luis Galiardo, María Barranco, Loles León",,,,,,,100',"Comedy, Romance ",,,https://www.imdb.com/title/tt0099449/?ref_=nv_sr_srsg_0,,,,,
1991,movie,International Competition,,EVE OF DESTRUCTION,Duncan Gibbins,1991,USA,EUROPEAN,International Competition,"Gregory Hines, Renée Soutendijk, Michael Greene",,,,,,,99',"Action, Science-Fiction, Thriller",,,https://www.imdb.com/title/tt0101831/?ref_=nv_sr_srsg_3,,,,,
1991,movie,International Competition,,FRANKENHOOKER,Frank Henenlotter,1990,USA,BELGIAN,International Competition,"James Lorinz, Joanne Ritchie, Patty Mullen",,,,,,,85',"Comedy, Horror, Science-Fiction",,,https://www.imdb.com/title/tt0099611/?ref_=nv_sr_srsg_0,,,,,
1991,movie,International Competition,,GRAVEYARD SHIFT,Ralph S. Singleton,1990,USA,BELGIAN,International Competition,"David Andrews, Kelly Wolf, Stephen Macht",,,,,,,89',Horror ,,,https://www.imdb.com/title/tt0099697/?ref_=nv_sr_srsg_0,,,,,
1991,movie,International Competition,,HARDWARE,Richard Stanley,1990,UK,BELGIAN,International Competition,"Dylan McDermott, Stacey Travis, John Lynch",,,,,,,94',"Science-Fiction, Thriller",,,https://www.imdb.com/title/tt0099740/?ref_=nv_sr_srsg_0,,,,,
1991,movie,International Competition,,"HENRY, PORTRAIT OF A SERIAL KILLER",John McNaughton,1986,USA,BELGIAN,International Competition,"Michael Rooker, Tracy Arnold, Tom Towles",,,,,,,83',"Biography, Crime, Drama",,,https://www.imdb.com/title/tt0099763/?ref_=nv_sr_srsg_0,,,,,
1991,movie,International Competition,,INVISIBLE MANIAC,Rif Coogan,1990,USA,EUROPEAN,International Competition,"Noel Peters, Savannah, Stephanie Blake",,,,,,,86',"Comedy, Horror, Science-Fiction",,,https://www.imdb.com/title/tt0099856/?ref_=nv_sr_srsg_7,,,,,
1991,movie,International Competition,,NIGHT ANGEL,Dominique Othenin-Girard,1990,USA,BELGIAN,International Competition,"Isa Jank, Linden Ashby, Debra Feuer",,,,,,,90',Horror ,,,https://www.imdb.com/title/tt0100247/?ref_=nv_sr_srsg_0,,,,,
1991,movie,International Competition,,NIGHT OF THE LIVING DEAD,Tom Savini,1990,UK,BELGIAN,International Competition,"Tony Todd, Patricia Tallman, Tom Towles",,,,,,,92',Horror,,,https://www.imdb.com/title/tt0100258/?ref_=nv_sr_srsg_3,,,,,
1991,movie,International Competition,,A PAUCITY OF FLYING DREAMS,Eizo Sugawa,1990,Japan,EUROPEAN,International Competition,"Toshiyuki Hosokawa, Eri Ishida, Mariko Kaga",,,,,,,90',"Fantasy, Romance ",,,https://www.imdb.com/title/tt0155277/?ref_=nm_flmg_dr_1,,,,,
1991,movie,International Competition,,THE PIT AND THE PENDULUM,Stuart Gordon,1991,USA,EUROPEAN,International Competition,"Lance Henriksen, Stephen Lee, William Norris",,,,,,,97',"Horror, Romance ",,,https://www.imdb.com/title/tt0100369/?ref_=nv_sr_srsg_0,,,,,
1991,movie,International Competition,,RED BLOODED AMERICAN GIRL,David Blyth,1990,Canada,WORLD,International Competition,"Andrew Stevens, Heather Thomas, Christopher Plummer",,,,,,,89',"Comedy, Horror, Science-Fiction",,,https://www.imdb.com/title/tt0100466/?ref_=nv_sr_srsg_0,,,,,
1991,movie,International Competition,,SCARS OF THE NIGHT,Panos Kokkinopoulos,1990,Greece,BELGIAN,International Competition,"Stratos Tzortzoglou, Katerina Lehou, Adonis Katsaris",,,,,,,92',Fantasy,,,https://www.imdb.com/title/tt0262750/?ref_=nv_sr_srsg_0,,,,,
1991,movie,International Competition,,The Secret of Sarah Tombelaine,Daniel Lacambre,1990,France,BELGIAN,International Competition,"Irène Jacob, Marc de Jonge, Harry Cleven",,,,,,,92',Mystery,,,https://www.imdb.com/title/tt0134086/?ref_=nv_sr_srsg_0,LE SECRET DE SARAH TOMBELAINE,,,,
1991,movie,International Competition,,"SILENT NIGHT, DEADLY NIGHT 4, INITIATION",Brian Yuzna,1990,USA,EUROPEAN,International Competition,"Clint Howard, Neith Hunter, Tommy Hinkley",,,,,,,87',Horror ,,,https://www.imdb.com/title/tt0100618/?ref_=nv_sr_srsg_6,,,,,
1991,movie,International Competition,,TWO EVIL EYES,"George A. Romero, Dario Argento",1990,Italy,BELGIAN,International Competition,"Adrienne Barbeau, Harvey Keitel, Ramy Zada",,,,,,,120',Horror,,,https://www.imdb.com/title/tt0100827/?ref_=nv_sr_srsg_0,,,,,
1991,movie,,,ALLIGATOR II,John Hess,1991,USA,EUROPEAN,,"Joseph Bologna, Dee Wallace, Richard Lynch",,,,,,,92',"Horror, Science-Fiction",,,https://www.imdb.com/title/tt0101309/?ref_=nv_sr_srsg_0,,,,,
1991,movie,,,BAIL JUMPER,Christian Faber,1989,USA,EUROPEAN,,"Tony Askin, Alexandra Auder, Eszter Balint",,,,,,,93',Comedy ,,,https://www.imdb.com/title/tt0099095/?ref_=nv_sr_srsg_0,,,,,
1991,movie,,,BEARSKIN,"Ann Guedes, Eduardo Guedes",1990,UK,BELGIAN,,"Tom Waits, Damon Lowry, Júlia Britton",,,,,,,95',"Crime, Drama, Thriller ",,,https://www.imdb.com/title/tt0096901/?ref_=nm_knf_t1,,,,,
1991,movie,,,BLOOD RELATIONS,Graeme Campbell,1988,USA,EUROPEAN,,"Jan Rubes, Kevin Hicks, Lydie Denier",,,,,,,90',Horror ,,,https://www.imdb.com/title/tt0092672/?ref_=nv_sr_srsg_6,,,,,
1991,movie,,,CARNIVAL OF SOULS,Herk Harvey,1962,USA,BELGIAN,,"Candace Hilligoss, Frances Feist, Sidney Berger",,,,,,,78',"Horror, Mystery",,,https://www.imdb.com/title/tt0055830/?ref_=nv_sr_srsg_0,,,,,
1991,movie,,,ETOILE,Peter Del Monte,1989,Italy,BELGIAN,,"Jennifer Connelly, Gary McCleery, Laurent Terzieff",,,,,,,101',"Fantasy, Romance, Thriller",,,https://www.imdb.com/title/tt0096522/?ref_=nv_sr_srsg_4,,,,,
1991,movie,,,THE FIRST POWER,Robert Resnikoff,1990,USA,BELGIAN,,"Lou Diamond Phillips, Tracy Griffith, Jeff Kober",,,,,,,98',"Crime, Horror, Thriller ",,,https://www.imdb.com/title/tt0099578/?ref_=nv_sr_srsg_0,,,,,
1991,movie,,,FLESH GORDON MEETS THE COSMIC CHEERLEADERS,Howard T. Ziehm,1990,Canada,BELGIAN,,"Vince Murdocco, Robyn Kelly, Tony Travis",,,,,,,102',"Comedy, Science-Fiction",,,https://www.imdb.com/title/tt0097365/?ref_=nv_sr_srsg_0,,,,,
1991,movie,,,THE HANDMAID'S TALE,Volker Schlondorf,1989,"USA , Germany",BELGIAN,,"Natasha Richardson, Faye Dunaway, Aidan Quinn",,,,,,,109',"Drama, Romance, Science-Fiction",,,https://www.imdb.com/title/tt0099731/?ref_=nv_sr_srsg_3,,,,,
1991,movie,,,HANNA MONSTER DARLING,Christian Berger,1989,"Germany , Austria",BELGIAN,,"Marika Green, Hagnot Elischka, Peter Turrini",,,,,,,98',Drama,,,https://www.imdb.com/title/tt0097477/?ref_=nv_sr_srsg_0,,,,,
1991,movie,,,JUST FOR KICKS,Peter Gardos,1988,Hungary,BELGIAN,,"Gábor Reviczky, Armin Mueller-Stahl, László Sinkó
",,,,,,,94',Comedy ,,,https://www.imdb.com/title/tt0097494/?ref_=nm_flmg_dr_17,,,,,
1991,movie,,,THE LAST ISLAND,Marleen Gorris,1990,Netherlands,BELGIAN,,"Paul Freeman, Shelagh McLeod, Patricia Hayes",,,,,,,115',"Drama, Science-Fiction",,,https://www.imdb.com/title/tt0102272/?ref_=nv_sr_srsg_5,,,,,
1991,movie,,,MEET THE FEEBLES,Peter Jackson,1989,New Zealand,BELGIAN,,"Danny Mulheron, Donna Akersten, Stuart Devenie",,,,,,,97',"Comedy, Musical ",,,https://www.imdb.com/title/tt0097858/?ref_=nv_sr_srsg_0,,,,,
1991,movie,,,MISTER FROST,Philip Setbon,1990,France,BELGIAN,,"Jeff Goldblum, Kathy Baker, Alan Bates",,,,,,,104',"Drama, Horror, Thriller",,,https://www.imdb.com/title/tt0100161/?ref_=nv_sr_srsg_0,,,,,
1991,movie,,,"MIRROR, MIRROR",Marina Sargenti,1990,USA,BELGIAN,,"Karen Black, Yvonne De Carlo, William Sanderson",,,,,,,104',"Horror, Thriller",,,https://www.imdb.com/title/tt0100156/?ref_=nv_sr_srsg_10,,,,,
1991,movie,,,THE MONK,Paco Lara,1990,"Spain , UK",BELGIAN,,"Paul McGann, Sophie Ward, Isla Blair",,,,,,,106(,"Drama, Horror",,,https://www.imdb.com/title/tt0099609/?ref_=nm_flmg_dr_1,,,,,
1991,movie,,,A NIGHTMARE ON ELM STREET V : DREAM CHILD,Stephen Hopkins,1989,USA,BELGIAN,,"Robert Englund, Lisa Wilcox, Kelly Jo Minter",,,,,,,89',"Fantasy, Horror",,,https://www.imdb.com/title/tt0097981/?ref_=nv_sr_srsg_9,,,,,
1991,movie,,,THE PHANTOM OF THE OPERA ,Dwight H. Little,1989,USA,BELGIAN,,"Robert Englund, Jill Schoelen, Alex Hyde-White",,,,,,,93',"Drama, Horror, Musical",,,https://www.imdb.com/title/tt0098090/?ref_=nv_sr_srsg_6,,,,,
1991,movie,,,PINOCCHIO AND THE EMPEROR OF THE NIGHT,Hal Sutherland,1986,USA,BELGIAN,,"Edward Asner, Tom Bosley, Lana Beeson
",,,,,,,87',"Animation, Adventure, Family",,,https://www.imdb.com/title/tt0093743/?ref_=nv_sr_srsg_0,,,,,
1991,movie,,,THE REFLECTING SKIN,Philip Ridley,1990,UK,BELGIAN,,"Viggo Mortensen, Lindsay Duncan, Jeremy Cooper",,,,,,,96',"Drama, Horror, Thriller",,,https://www.imdb.com/title/tt0100469/?ref_=nv_sr_srsg_0,,,,,
1991,movie,,,THE SACRED PLACE,Djordje Kadjevic,1990,Yugoslavia,EUROPEAN,,"Dragan Jovanovic, Branka Pujic, Aleksandar Bercek",,,,,,,90',"Drama, Horror",,,https://www.imdb.com/title/tt0181845/?ref_=nm_flmg_dr_4,,,,,
1991,movie,,,SWORDSMAN,"Tsui Hark, King Hu, Ching Siu Tung",1989,Hong Kong,EUROPEAN,,"Samuel Hui, Cecilia Yip, Jacky Cheung",,,,,,,118',"Action, History",,,https://www.imdb.com/title/tt0100973/?ref_=nm_flmg_dr_37,,,,,
1991,movie,,,TALES FROM THE DARKSIDE,John Harrison,1990,USA,BELGIAN,,"Debbie Harry, Matthew Lawrence, Christian Slater",,,,,,,93',"Comedy, Fantasy, Horror ",,,https://www.imdb.com/title/tt0100740/?ref_=nv_sr_srsg_0,,,,,
1991,movie,,,TERRORGRAM,Stephen M. Kienzle,1990,USA,EUROPEAN,,"James Earl Jones, Steven Field, J.T. Wallace",,,,,,,88',Horror,,,https://www.imdb.com/title/tt0248535/?ref_=nv_sr_srsg_0,,,,,
1991,movie,,,"THEO , THEA AND THE 7 DWARFS",Pieter Kramer,1989,Netherlands,BELGIAN,,"Arjan Ederveen, Tosca Niterink, Marco Bakker",,,,,,,104',Comedy,,,https://www.imdb.com/title/tt0098466/?ref_=ttrel_rel_tt,,,,,
1991,movie,,,WARLOCK,Steve Miner,1989,USA,BELGIAN,,"Julian Sands, Lori Singer, Richard E. Grant",,,,,,,103',"Action, Fantasy, Horror",,,https://www.imdb.com/title/tt0098622/?ref_=nv_sr_srsg_0,,,,,
1991,movie,,,WINGS OF FAME,Otokar Votocek,1989,Netherlands,BELGIAN,,"Peter O'Toole, Colin Firth, Marie Trintignant",,,,,,,116',"Comedy, Drama, Fantasy",,,https://www.imdb.com/title/tt0098658/?ref_=nv_sr_srsg_0,,,,,
1991,movie,,,XTRO II,Harry Bromley-Davenport,1991,"Canada , Netherlands",WORLD,,"Jan-Michael Vincent, Paul Koslo, Tara Buckman",,,,,,,92',"Action, Horror, Science-Fiction",,,https://www.imdb.com/title/tt0100975/?ref_=nv_sr_srsg_0,,,,,
1991,movie,,,DEADLY INNOCENTS,John D. Patterson,1988,USA,EUROPEAN,,"Mary Crosby, Andrew Stevens, Amanda Wyss",,,,,,,95',Thriller ,,,https://www.imdb.com/title/tt0099380/?ref_=nv_sr_srsg_0,,,,,
1991,movie,,,DISTURBED,Charles Winkler,1990,USA,BELGIAN,,"Malcolm McDowell, Geoffrey Lewis, Priscilla Pointer",,,,,,,96',"Horror, Thriller ",,,https://www.imdb.com/title/tt0099441/?ref_=nv_sr_srsg_0,,,,,
1991,movie,,,HUNTING,Frank Howson,1990,Australia,BELGIAN,,"John Savage, Kerry Armstrong, Jeffrey Thomas",,,,,,,96',Drama,,,https://www.imdb.com/title/tt0102076/?ref_=nm_flmg_dr_6,,,,,
1991,movie,,,NIGHT GAME,Peter Masterson,1989,USA,BELGIAN,,"Roy Scheider, Karen Young, Lane Smith",,,,,,,95',"Crime, Drama, Thriller",,,https://www.imdb.com/title/tt0097971/?ref_=nv_sr_srsg_4,,,,,
1991,movie,,,PAPER MASK,Christopher Morahan,1990,UK,BELGIAN,,"Paul McGann, Amanda Donohoe, Frederick Treves",,,,,,,105',"Drama, Thriller",,,https://www.imdb.com/title/tt0100330/?ref_=nv_sr_srsg_0,,,,,
