edition,type,subtype,winner,title,director,year,country,premiere,competition,casting,distributor,producer,screenplay,soundtrack,subtitles,audio,length,genre,Fonction Guest,IMDB,Lien IMDB,original_title,URL Poster,text_fr,text_nl,text_en
1986,short,European short film competition,,SOUS PEINE DE POURSUITE,Vincent Vidal,1984,France,,European short film competition,,,,,,,,,,,,,,,,,
1986,short,European short film competition,,ESMERALDA,Catherine Duytsche,1982,France,,European short film competition,,,,,,,,,,,,,,,,,
1986,short,European short film competition,,MUTANTS NEEDED,Dirk Van den Eyden,1975,Belgium,,European short film competition,,,,,,,,,,,,,,,,,
1986,short,European short film competition,,DU CRIME CONSIDERE COMME UN DES BEAUX ARTS,Frederik Compain,1980,France,,European short film competition,,,,,,,,,,,,,,,,,
1986,short,European short film competition,,SKYWHALES,"Derek Hayes, Phil Austen",1983,UK,,European short film competition,"Robert Llewellyn, Bernie Evans",,,,,,,11',"Animation, Science-Fiction",,,"https:,,www.imdb.com,title,tt0228867,?ref_=fn_al_tt_1",,,,,
1986,short,European short film competition,,SHOUT,Gérard Cuq,1981,France,,European short film competition,,,,,,,,,,,,,,,,,
1986,short,European short film competition,,THE VICTOR,"Derek Hayes, Phil Austen",1985,UK,,European short film competition,,,,,,,,,,,,,,,,,
1986,short,European short film competition,,NA DNIE SZAFY,Jerzy Kopczynski,1985,Poland,,European short film competition,Olivia Gerard-Fisse,,,,,,,,"Animation, Horror ",,,"https:,,www.imdb.com,title,tt0356927,?ref_=fn_al_tt_1",,,,,
1986,short,European short film competition,,LE POEME,Bogdan Borkowski,1985,France,,European short film competition,Bernard Lavilliers,,,,,,,12',,,,"https:,,www.imdb.com,title,tt0296152,?ref_=nm_knf_t1",LE POEME,,,,
1986,short,European short film competition,,GRIM FAIRYTALES,David Farringdon,1985,UK,,European short film competition,,,,,,,,,,,,,,,,,
1986,short,European short film competition,,LA SOLITUDE DES PROFONDEURS,Valérie Lajoinie,1984,France,,European short film competition,,,,,,,,,,,,,,,,,
1986,short,European short film competition,,LE PENSEUR,"Martin Sticker, Robert Muller",1985,Switzerland,,European short film competition,,,,,,,,,,,,,,,,,
1986,short,European short film competition,,FEUERPROBE,Martin Thau,1982,RFA,,European short film competition,,,,,,,,,,,,,,,,,
1986,short,European short film competition,,MIROIR D'AILLEURS,Willy Kempeneers,1986,Belgium,,European short film competition,,,,,,,,,,,,"https:,,www.imdb.com,title,tt0242687,?ref_=fn_al_tt_1",,,,,
1986,short,European short film competition,,ONE-REAL PICTURE SHOW,Andy Bausch,1984,Luxemburg,,European short film competition,,,,,,,,,,,,,,,,,
1986,short,European short film competition,,QUARTIER SAUVAGE,Jean-Michel Roux,1984,France,,European short film competition,"Michel Didym, Muriel Mayette, Bérurier Noir",,,,,,,15',,,,"https:,,www.imdb.com,title,tt0268560,?ref_=fn_al_tt_1",,,,,
1986,short,European short film competition,,DE BOOT,Jaco Van Dormael,1985,Belgium,,European short film competition,"Stephen Dewaele, David Dewaele, Vincent Bal",,,,,,,20',Musical,,,"https:,,www.imdb.com,title,tt0088840,?ref_=fn_al_tt_1",,,,,
1986,short,European short film competition,,LE REACTEUR VERNET,Laurent Dussaux,1985,France,,European short film competition,,,,,,,,,,,,,,,,,
1986,short,European short film competition,,A DOUBLE SOUFFLE,Fernand Berenguer,1986,France,,European short film competition,,,,,,,,8',,,,"https:,,www.imdb.com,title,tt0268774,?ref_=fn_al_tt_1",,,,,
1986,short,European short film competition,,RUPTURE DE STOCK,Claude Guymont,1984,France,,European short film competition,"Artus de Penguern, Michel Laroussi",,,,,,,7',,,,"https:,,www.imdb.com,title,tt0423101,?ref_=fn_al_tt_1",,,,,
