edition,type,subtype,winner,title,director,year,country,premiere,competition,casting,distributor,producer,screenplay,soundtrack,subtitles,audio,length,genre,Fonction Guest,IMDB,Lien IMDB,original_title,URL Poster,text_fr,text_nl,text_en
1994,short,European short film competition,,AND IN THE DISTANCE A CATHEDRAL,Hans Pannecoucke,1993,Belgium,,European short film competition,"Nicoline Dossche, Serge Lagarde, Renato Oliveras",,,,,,,7',Drama,,,"https:,,www.imdb.com,title,tt0454063,?ref_=nm_knf_t1",,,,,
1994,short,European short film competition,,ARTURO GAMEZ,Miquel Navarro,1993,Spain,,European short film competition,"Miquel Alcarria, Miguel Navarro, María Luisa Solá",,,,,,,,Animation,,,"https:,,www.imdb.com,title,tt0178244,?ref_=nm_knf_t1",ARTURO GÁMEZ (CUERPOS EN TRÁNSITO),,,,
1994,short,European short film competition,,BOIS DES OMBRES,Françoise Honorez,1993,Belgium,,European short film competition,,,,,,,,,,,,,,,,,
1994,short,European short film competition,,CERISE,Eva Visnyei,1992,Belgium,,European short film competition,,,,,,,,,,,,,,,,,
1994,short,European short film competition,,IL CHERCHIO,Flavio Moretti,1993,Italy,,European short film competition,,,,,,,,,,,,,,,,,
1994,short,European short film competition,,LE CHOCOLAT CHAUD,Vincent Lavachery,1993,Belgium,,European short film competition,"Stéphane Aubier, Vincent Patar, Christophe Reyners",,,,,,,7',"Animation, Horror",,,"https:,,www.imdb.com,title,tt0310887,?ref_=nm_knf_t1",,,,,
1994,short,European short film competition,,DIM,Marek Skrobecki,1992,Poland,,European short film competition,,,,,,,,10',Animation ,,,"https:,,www.imdb.com,title,tt0295928,?ref_=nm_knf_t3",,,,,
1994,short,European short film competition,,EL ESPIRITU DE LA LUNA,Norberto Lopez Amado,1994,Spain,,European short film competition,"Iñaki Aierra, José Moreno, Carmen Pardo",,,,,,,10',,,,"https:,,www.imdb.com,title,tt1121935,?ref_=nm_flmg_dr_30",,,,,
1994,short,European short film competition,,A FAIRY TALE OF OUR TIME,Inga Lisa Middleton,1992,Iceland,,European short film competition,"Edda Heidrún Backman, Kjartan Bjargmundsson, Baltasar Kormákur",,,,,,,11',,,,"https:,,www.imdb.com,title,tt0231094,?ref_=nm_flmg_dr_5",ÆVINTÝRI Á OKKAR TÍMUM,,,,
1994,short,European short film competition,,HORROR VACUI,Boris Paval Conen,1993, Netherlands,,European short film competition,"Romijn Conen, Brigitte Defaux, Sander de Heer",,,,,,,,,,,"https:,,www.imdb.com,title,tt0219812,?ref_=nm_flmg_dr_26",,,,,
