edition,type,subtype,winner,title,director,year,country,premiere,competition,casting,distributor,producer,screenplay,soundtrack,subtitles,audio,length,genre,Fonction Guest,IMDB,Lien IMDB,original_title,URL Poster,text_fr,text_nl,text_en
1990,short,European short film competition,,THE LAST KANAVA,Heikki Paakkanen,1987,Finland,,European short film competition,"Harri Manner, Richard Stanley",,,,,,,11',Animation,,,"https:,,www.imdb.com,title,tt1829752,?ref_=fn_al_tt_1",,,,,
1990,short,European short film competition,,SALOME,Maurizio Forestieri,1989,Italy,,European short film competition,,,,,,,,2',Animation,,,"https:,,www.imdb.com,title,tt1937309,?ref_=nm_flmg_anm_9",,,,,
1990,short,European short film competition,,THE CONTRACT,V. Tarassov,1988,USSR,,European short film competition,,,,,,,,,,,,,,,,,
1990,short,European short film competition,,THE HANGOVER,Giblets,1989,UK,,European short film competition,"Jim Broadbent, Rebecca Lacey, Kevin McNally",,,,,,,15',,,,"https:,,www.imdb.com,title,tt1262901,?ref_=nm_flmg_wr_2",,,,,
1990,short,European short film competition,,JUST LIKE E.E.,"M. V.D. Ploeg, R. V.D. Ploeg, H. Richter",1989,Netherlands,,European short film competition,,,,,,,,,,,,,,,,,
1990,short,European short film competition,,KITCHEN SINK,Alison MacLean,1989,New Zealand,Avant-Premiere Opening Ceremony,European short film competition,"Theresa Healey, Peter Tait, Annagretta Christian",,,,,,,14',Horror,,,"https:,,www.imdb.com,title,tt0097673,?ref_=fn_al_tt_1",UDEL,,,,
1990,short,European short film competition,,CRUEL SORT,Jaroslava Havettova,1989,Czekoslovakia,,European short film competition,,,,,,,,12',Animation,,,"https:,,www.imdb.com,title,tt0124225,?ref_=fn_al_tt_1",,,,,
1990,short,European short film competition,,THE ABBOTESS AND THE FLYING BONE,"Dietmar Schipek, Angela Hans Scheirl",1989,Austria,,European short film competition,"Anthony Escott, A. Hans Scheirl, Dietmar Schipek",,,,,,,18',,,,"https:,,www.imdb.com,title,tt0096750,?ref_=fn_al_tt_1",,,,,
1990,short,European short film competition,,THE SPOTTED KINGDOM,Francisco Lanca,1988,Portugal,,European short film competition,,,,,,,,,,,,,,,,,
1990,short,European short film competition,,L'ORDRE DOIT REIGNER,Krzysztof Kiwerski,1988,Poland,,European short film competition,,,,,,,,8',Animation,,,"https:,,www.imdb.com,title,tt3958232,?ref_=fn_al_tt_1",PORZADEK MUSI BYC,,,,
1990,short,European short film competition,,LA SUPERNOVA,Krzysztof Raynoch,1988,Poland,,European short film competition,,,,,,,,,,,,,SUPERNOWA,,,,
1990,short,European short film competition,,WOMAN'S ROOM,Sebastian Hirt,1987,West Germany,,European short film competition,,,,,,,,,,,,,,,,,
1990,short,European short film competition,,MELODY PICTURES,Barbara Schaubacher,1989,Switzerland,,European short film competition,,,,,,,,,,,,,,,,,
1990,short,European short film competition,,JOHNNY AND THE DEVIL,Alison Pook,1988,UK,,European short film competition,,,,,,,,,,,,,,,,,
1990,short,European short film competition,,MAMA by Pablo Berger,Pablo Berger,1988,Spain,,European short film competition,"Ramón Barea; Nati Ortíz de Zárate, Cecilio Abascal",,,,,,,12',"Comedy, Horror, Science-Fiction",,,"https:,,www.imdb.com,title,tt0216900,?ref_=nm_knf_t4",,,,,
1990,short,European short film competition,,MAISON A VENDRE,Benoît Razy,1989,France,,European short film competition,,,,,,,,,,,,,,,,,
1990,short,European short film competition,,LIFTING,Christophe Jacrot,1989,France,,European short film competition,Olivia Rigoli,,,,,,,3',Fantasy,,,"https:,,www.imdb.com,title,tt2365620,?ref_=nm_flmg_dr_7",,,,,
1990,short,European short film competition,,UHLOZ,Guy Jacques,1989,France,,European short film competition,"Myriam Mézières, Jean-Bernard Guillard, Mado Maurin",,,,,,,13',,,,"https:,,www.imdb.com,title,tt0216317,?ref_=nm_knf_i1",,,,,
1990,short,European short film competition,,HOSTEL PARTY,Roland Lethem,1990,Belgium,,European short film competition,"Serge-Henri Valcke, Alexandra Vandernoot, Michel Karchevsky",,,,,,,11',,,,"https:,,www.imdb.com,title,tt0322601,?ref_=nm_flmg_wr_3",,,,,
1990,short,European short film competition,,MORAL DO,Oleg Imbert,1989,Belgium,,European short film competition,,,,,,,,,,,,,,,,,
1990,short,European short film competition,,PHANTASMOGORIA,Tiziana Caminada,1989,Switzerland,,European short film competition,"Anna Pernicci, Alexandre Reverend, Raymond Sawyer",,,,,,,,Fantasy,,,"https:,,www.imdb.com,title,tt0498701,?ref_=nm_knf_t1",,,,,
1990,short,European short film competition,,WER ZELETZT BEISST,Wolfgang Buld,1988,West Germany,,European short film competition,,,,,,,,,,,,,,,,,
1990,short,European short film competition,,DES JEUNES HOMMES,Jan Svankmajer,1988,Czekoslovakia,,European short film competition,Miroslav Kuchar,,,,,,,14',"Animation, Comedy",,,"https:,,www.imdb.com,title,tt0095683,?ref_=fn_al_tt_1",MUZNE HRY,,,,
1990,short,European short film competition,,MENOPAUSE,"Emanuelle delle Piane, Alain Margot",1989,Switzerland,,European short film competition,,,,,,,,,,,,,,,,,
1990,short,European short film competition,,LE DERNIER SOLDAT,Gerald Frydman,1989,Belgium,,European short film competition,,,,,,,,,,,,,,,,,
1990,short,European short film competition,,LA MEDUSE,Aleksander Sroczynski,1988,Poland,,European short film competition,,,,,,,,,,,,,MEDUZA ,,,,
1990,short,European short film competition,,THE BURDEN,Guillaume Bréaud,1988,France,,European short film competition,"Louise Boisvert, Jean Lescot, David Nataf",,,,,,,13',,,,"https:,,www.imdb.com,title,tt0422227,?ref_=fn_al_tt_2",LE FARDEAU,,,,
1990,short,European short film competition,,THE END,Valter Cavazzuti,1989,Italy,,European short film competition,,,,,,,,,,,,,,,,,
