edition,type,subtype,winner,title,director,year,country,premiere,competition,casting,distributor,producer,screenplay,soundtrack,subtitles,audio,length,genre,Fonction Guest,IMDB,Lien IMDB,original_title,URL Poster,text_fr,text_nl,text_en
2007,short,International short film competition,,DAMNATION,Sean Rooney,2006,Canada,,International short film competition,"Bill Merchant, Stephanie Marios,
Liam Ranger",,,,,,,11',Horror,,,"https:,,www.imdb.com,title,tt0910996,?ref_=nm_flmg_dr_1",,,,,"A doctor contracts a strange disease. A young man
will witness the horrific consequences."
2007,short,International short film competition,,DROOMTIJD,Tom Van Avermaet,2006,Belgium,,International short film competition,"Maarten Claeyssens, Maaike Neuville,
Herwig Illegems, Jo Decaluwe, Miel Heirbaut",,,,,,,19',"Drama, Science-Fiction",,,"https:,,www.imdb.com,title,tt0887900,?ref_=fn_al_tt_1",,,,,"In a society tyrannized by time, only dreams will be
able to save us !"
2007,short,International short film competition,,DEMAIN LA VEILLE,"Julien Lecat, Sylvain Pioutaz",2006,France,,International short film competition,"Stéphane Metzger, François Levantal,
Julie de Bona, Frédéric Pierrot, Nicky Naude, Tarubi,
Luca Lomazzi, Morgan Berthon",,,,,,,17',Science-Fiction,,,"https:,,www.imdb.com,title,tt0480070,?ref_=fn_al_tt_1",,,,,"In this world, time goes backwards, except for one
man !"
2007,short,International short film competition,,THE UN-GONE,Simon Bovey,2006,UK,,International short film competition,"Stephen Billington, Damien Thomas,
Linette Beaumont, Yasmine Maya",,,,,,,8',Science-Fiction,,,"https:,,www.imdb.com,title,tt0831889,?ref_=fn_al_tt_1",,,,,"In the future, teleportation has become an accepted
way of travel. But the system still has a few defects."
2007,short,International short film competition,,MOLOCH,Marcin Pazera,2006,Poland,,International short film competition,,,,,,,,8',,,,,,,,,"A colossal machine produces endless hordes of
soldiers for a senseless war."
2007,short,International short film competition,,THE TROPHEE,Pascal Thiebaux,2006,"France,Belgium",,International short film competition,"Frédéric Aubry, Caroline Mario,
Dominique Loreaux, Luc Berhin, Fabrice Carron",,,,,,,10',,,,,,,,,"Christmas Eve. Santa Clause’s head adorns the wall
as a hunting trophy."
2007,short,International short film competition,,DOSES OF ROGER,John Gutierrez,2006,USA,,International short film competition,"Taylor Mead, Jesse Janowsky, Julie McNiven",,,,,,,13',Science-Fiction,,,"https:,,www.imdb.com,title,tt1302557,?ref_=fn_al_tt_1",,,,,"A scientist has succeeded in stocking his memories
in fluid form. An injection is all that it takes to bring
back the past."
2007,short,International short film competition,,THE HANDYMAN,Simon Rumley,2006,UK,,International short film competition,"Greta Scacchi, Bill Sage, William C. Mitchell",,,,,,,15',Thriller,,,"https:,,www.imdb.com,title,tt0850670,?ref_=nm_flmg_dr_9",,,,,"A lonely woman hires a stranger to work on her farm,
even though the area is terrorized by a serial killer."
2007,short,International short film competition,,LOVEPROOF,Maia Horniak,2006,Australia,,International short film competition,"Megan Dorman, Alex Dimitriades,
Lewis Fitzgerald, Elaine Lee",,,,,,,14',"Drama, Science-Fiction",,,"https:,,www.imdb.com,title,tt0869962,?ref_=fn_al_tt_1",,,,,"A chemical war has devastated the Earth. Those who
have become unfertile, are banished from the city."
2007,short,International short film competition,,LES MORVEUX,Pierre-Louis Levacher,2006,France,,International short film competition,Raymond Forestier,,,,,,,6',"Horror, Comedy",,,"https:,,www.imdb.com,title,tt2376738,?ref_=fn_al_tt_1",,,,,A must for everybody who hates children’s choirs.
2007,short,International short film competition,,SIRENE DE LUNE,"Psyché Piras, Sophie Collay",2006,Belgium,,International short film competition,"Benoît Verhaert, Psyché Piras, Elie Lison",,,,,,,15',,,,"https:,,www.imdb.com,title,tt1212012,?ref_=fn_al_tt_1",,,,,"At the night of the full moon, a handicapped young
woman turns into a graceful lady."
2007,short,International short film competition,,LA LEYENDA DEL HOMBRE LENTO,Armando del Rio,2006,Spain,,International short film competition,"Aitor Merino, Ximena Suarez, Raquel Pérez,
Javier Segovia",,,,,,,13',Comedy,,,"https:,,www.imdb.com,title,tt0856236,?ref_=fn_al_tt_1",,,,,"He was born with a serious defect; he lives in slowmotion
!"
2007,short,International short film competition,,LOST CARGO,"Pieter Engels, Efim Perlis",2006,"Netherlands,Belgium",,International short film competition,,,,,,,,15',Animation,,,"https:,,www.imdb.com,title,tt1082028,?ref_=fn_al_tt_1",,,,,"A robot is no longer able to keep up with the
production rate at an intergalactic travelling factory."
2007,short,International short film competition,,THE PUB,"Gabriel Gauchet, Andrzej Krol",2006,Germany,,International short film competition,"Dana Cebulla, Juliane Gruner,
Jürgen Hartmann, Jürgen Kloth, Jakob Schneider,
Katharina Teljuk",,,,,,,10',Horror,,,"https:,,www.imdb.com,title,tt1166818,?ref_=fn_al_tt_1",Die Kneipe,,,,"A surreal excursion to a very particular pub and its
weird patrons."
2007,short,International short film competition,,THE FAERIES OF BLACKHEATH WOODS,Ciaran Foy,2006,Ireland,,International short film competition,"Katie Keogh, Orla O’Rourke,
Bernard Kelleghan",,,,,,,4',"Horror, Fantasy",,,"https:,,www.imdb.com,title,tt0841102,?ref_=fn_al_tt_1",,,,,"Little girls should know better than to follow the
faeries of Blackheath Woods."
2007,short,International short film competition,,MAQUINA,Gabe Ibanez,2006,Spain,,International short film competition,Iazua Larios,,,,,,,16',Horror,,,"https:,,www.imdb.com,title,tt1326827,?ref_=fn_al_tt_1",,,,,"A woman discovers her true nature in a painful and
confusing environment."
2007,short,International short film competition,,SNIFFER,Bobbie Peers,2006,Norway,,International short film competition,"Danny Schlesinger, Kristin Krogh Sissener",,,,,,,10',"Drama, Science-Fiction",,,"https:,,www.imdb.com,title,tt0800966,?ref_=nm_knf_t1",,,,,"In a world where everybody can fly, people prefer to
stay anchored to the ground with anti-gravity boots."
2007,short,"Belgian Short Film Competition, 3rd Belgian Fantastic Film Day",,DROOMTIJD,Tom Van Avermaet,2006,Belgium,,Belgian Short Film Competition,"Maarten Claeyssens,
Maaike Neuville, Herwig Illegems,
Jo Decaluwe, Miel Heirbaut",,,,,,,20',"Drama, Science-Fiction",,,"https:,,www.imdb.com,title,tt0887900,?ref_=fn_al_tt_1",,,,,"In a society tyrannized by time, only dreams will be able to
save us !"
2007,short,"Belgian Short Film Competition, 3rd Belgian Fantastic Film Day",,PRELUDE,"Jean-François Spricigo, Benjamin Viré",2006,Belgium,,Belgian Short Film Competition,"Jean-François Spricigo, Jean Collard",,,,,,,9',Drama,,,"https:,,www.imdb.com,title,tt3106202,?ref_=nm_flmg_dr_8",,,,,
2007,short,"Belgian Short Film Competition, 3rd Belgian Fantastic Film Day",,EVA RESTA AU PLACARD LES NUITS DE PLEINE LUNE,Alex Stockman,2006,Belgium,,Belgian Short Film Competition,"Samuel Lefeuvre,
Tine Van Den Wyngaert, Willy
Thomas, Mieke Verdin",,,,,,,28',,,,"https:,,www.imdb.com,title,tt0842729,?ref_=fn_al_tt_1",,,,,"Michel is spastic. He finds comfort with Eva, his inflatable
doll. But when the moon is full, Michel’s handicap
disappears and he becomes “normal”."
