edition,type,subtype,winner,title,director,year,country,premiere,competition,casting,distributor,producer,screenplay,soundtrack,subtitles,audio,length,genre,Fonction Guest,IMDB,Lien IMDB,original_title,URL Poster,text_fr,text_nl,text_en
1996,short,European short film competition,,THE BEAST,Rhoderyc Charles Montgomery,1995,Netherlands,,European short film competition,"Roscoe Lee Browne, David Graf, Richard Keats",,,,,,,12',Science-Fiction,,,"https:,,www.imdb.com,title,tt0195543,?ref_=nm_knf_t1",,,,,
1996,short,European short film competition,,THE BITCH IS BACK,Tjebbo Penning,1995,Netherlands,,European short film competition,"Leanne Littlestone, Marcel Faber",,,,,,,16',"Comedy, Horror",,,"https:,,www.imdb.com,title,tt0144107,?ref_=fn_al_tt_1",,,,,
1996,short,European short film competition,,LES BONBONS,Karine Sudan,1994,Switzerland,,European short film competition,,,,,,,,,,,,,,,,,
1996,short,European short film competition,,BRUDER UND SCHWESTER,Boris Penth,1995,Germany,,European short film competition,"Laura Hildebrandt, Gregor Janisch",,,,,,,8',,,,"https:,,www.imdb.com,title,tt1548766,?ref_=nm_knf_t3",,,,,
1996,short,European short film competition,,"CARACOL, COL, COL",Pablo Llorens,1995,Spain,,European short film competition,,,,,,,,12',Animation,,,"https:,,www.imdb.com,title,tt0121137,?ref_=fn_al_tt_1",,,,,
1996,short,European short film competition,,CRUCY-FICTION,Daniel Wiroth,1995,Belgium,,European short film competition,,,,,,,,,,,,,,,,,
1996,short,European short film competition,,DADA by Piet Kroon,Piet Kroon,1997,Netherlands,,European short film competition,,,,,,,,10',Animation,,,"https:,,www.imdb.com,title,tt0112773,?ref_=nm_flmg_anm_4",,,,,
1996,short,European short film competition,,DECOUPAGES,Laurence Arcadias,1994,France,,European short film competition,,,,,,,,,,,,,,,,,
1996,short,European short film competition,,DEPTH SOLITUDE,"Joachim Solum, Thomas Lien",1995,Norway,,European short film competition,"Jan Grønli, Knut Erik Haugen, Alexandra Perez-Seoane",,,,,,,7',Drama,,,"https:,,www.imdb.com,title,tt0112920,?ref_=nm_flmg_dr_1",DYPETS ENSOMHET,,,,
1996,short,European short film competition,,DESCENTE,Philippe Haim,1994,France,,European short film competition,"Philippe Collin, Antoine Duléry, Patrice Pertant",,,,,,,8',,,,"https:,,www.imdb.com,title,tt0121199,?ref_=nm_flmg_dr_8",,,,,
1996,short,European short film competition,,EXTINCT,Michael Pohl,1995,Germany,,European short film competition,"Jophi Ries, Udo Kier, Margit Gatzke",,,,,,,15',Science-Fiction,,,"https:,,www.imdb.com,title,tt0131319,?ref_=nm_flmg_wr_7",AUSGESTORBEN,,,,
1996,short,European short film competition,,THE FADING WORLD,Edgar Pera,1995,Portugal,,European short film competition,Ana Bustorff,,,,,,,19',,,,"https:,,www.imdb.com,title,tt0121576,?ref_=nm_flmg_dr_40",O MUNDO DESBOTADO,,,,
1996,short,European short film competition,,FAITES VOS JEUX,Pablo Freville,1995,France,,European short film competition,"Pierre-Olivier Mornas, Maaike Jansen, Hervé Hiolle",,,,,,,12',"Comedy, Fantasy",,,"https:,,www.imdb.com,title,tt0264609,?ref_=fn_al_tt_2",,,,,
1996,short,European short film competition,,FREELOADERS,Emer O'Clery,1994,Ireland,,European short film competition,"Helena Breen, Ger Carey, Sharon Cromwell",,,,,,,12',"Drama, Science-Fiction",,,"https:,,www.imdb.com,title,tt0333470,?ref_=nm_knf_t1",,,,,
1996,short,European short film competition,,HOME ZERO,Carles Schenner,1995,Spain,,European short film competition,"Quim Castella, Carles Sales, Oriol Roca
",,,,,,,11',Thriller ,,,"https:,,www.imdb.com,title,tt0459836,?ref_=nm_knf_t1",HOMBRE CERO,,,,
1996,short,European short film competition,,IRA-DIATION,Manuel Gomez,1997,Belgium,,European short film competition,"Alexandre Bancel, Hanna Bardos, Serge Collard
",,,,,,,9',,,,"https:,,www.imdb.com,title,tt0821465,?ref_=fn_al_tt_1",,,,,
1996,short,European short film competition,,ITINERAIRE,Elena Horti,1995,Greece,,European short film competition,,,,,,,,,,,,,,,,,
1996,short,European short film competition,,"KUSHE, THE TALE OF MOTHER EARTH",Eva Palacios,1995,UK,,European short film competition,,,,,,,,,,,,,,,,,
1996,short,European short film competition,,LAS PARTES DE MI QUE TU AMAN SON SERES VACIOS,Mercedes Gaspar,1995,Spain,,European short film competition,"Ángel Lafuente, Patricia Luna",,,,,,,10',Animation,,,"https:,,www.imdb.com,title,tt0304522,?ref_=nm_knf_t2",,,,,
1996,short,European short film competition,,LAURA VON ALBANIEN,Margret Run,1994,Germany,,European short film competition,"Magdalena Wimmer, Stefan Hunstein, Julian Wiesemes
",,,,,,,19',,,,"https:,,www.imdb.com,title,tt1703939,?ref_=fn_al_tt_1",,,,,
1996,short,European short film competition,,MECANOMAGIE,Bady Minck,1996,Luxembourg,,European short film competition,"Misch Dimmer, Diane Becker, Raoul Chennaux
",,,,,,,15',,,,"https:,,www.imdb.com,title,tt0117014,?ref_=fn_al_tt_1",,,,,
